objected,title,creator,subject,date,format,filename,youtubeid
man_52,Examen Final,,Ficha Técnica,,application/pdf,ft_examen final.pdf,
man_53,Examen Final,,Poster,,image/jpeg,p_examenfinal.jpg,
man_54,Análisis,Geordanys Santana Avilés,Ficción,2013,video/mp4,https://www.youtube.com/watch?v=3hXa-pwyPhU,3hXa-pwyPhU
man_55,Análisis,,Ficha Técnica,,application/pdf,ft_análisis.pdf,
man_56,Análisis,,Poster,,image/jpeg,p_análisis.jpg,
man_57,Buscando,Hugo Navarro Ramírez,Video musical,2013,video/mp4,https://www.youtube.com/watch?v=VXIR-TMcHcs,VXIR-TMcHcs
man_58,Buscando,,Ficha Técnica,,application/pdf,ft_buscando.pdf,
man_59,La criatura,Nailén Núñez Cano,Ficción,2013,video/mp4,https://www.youtube.com/watch?v=Lt_fLoXfR8g,Lt_fLoXfR8g
man_60,La criatura,,Ficha Técnica,,application/pdf,ft_criatura.pdf,
man_61,La criatura,,Poster,,image/jpeg,p_criatura.jpg,
man_62,Dos sobre dos,Geordanys Santana Avilés,Ficción,2013,video/mp4,https://www.youtube.com/watch?v=C_lwsgCxqas,C_lwsgCxqas
man_63,Dos sobre dos,,Ficha Técnica,,application/pdf,ft_dossobredos.pdf,
man_64,Dos sobre dos,,Poster,,image/jpeg,ft_dossobredos.jpg,
man_65,Grandes Ligas,Leonardo Gómez,Ficción,2013,video/mp4,https://www.youtube.com/watch?v=ABiXN7kppfQ,ABiXN7kppfQ
man_66,Grandes Ligas,,Ficha Técnica,,application/pdf,p_grandesligas.pdf,
man_67,Grandes Ligas,,Poster,,image/jpeg,p_grandesligas.jpg,
man_68,Callejeando,Luis Vega,TV Show,2013,video/mp4,https://www.youtube.com/watch?v=cEgL9WVT-p8,cEgL9WVT-p8
man_69,Callejeando,,Ficha Técnica,,application/pdf,ft_callejeando.pdf,
man_70,El pollo,Hugo Navarro Ramírez,Ficción,2013,video/mp4,https://www.youtube.com/watch?v=JY6m-dc6oes,JY6m-dc6oes
man_71,El pollo,,Ficha Técnica,,application/pdf,ft_pollo.pdf,
man_72,El pollo,,Poster,,image/jpeg,p_pollo.jpg,
man_73,Dialogando,Hugo Navarro Ramírez,Ficción,2013,video/mp4,https://www.youtube.com/watch?v=Xwu3U93fuR4,Xwu3U93fuR4
man_74,Dialogando,,Ficha Técnica,,application/pdf,ft_dialogando.pdf,
man_75,Dialogando,,Poster,,image/jpeg,p_dialogando.jpg,
man_76,Del mismo aire,Hugo Navarro Ramírez,Ficción,2013,video/mp4,https://www.youtube.com/watch?v=YP7GODbAHB8,YP7GODbAHB8
man_77,Del mismo aire,,Ficha Técnica,,application/pdf,p_delmismoaire.pdf,
